scenario,sector_id,sector_name_ru,class_id,A_2030,A_2035,delta_sL_2030,delta_sL_2035,labour_share_t_2030,labour_share_t_2035,margin_t_2030,margin_t_2035
Base,B,Добыча полезных ископаемых,hardware,0.04285848195095768,0.11326220800471042,-0.004192549166236467,-0.011079659244105337,0.09874420605962443,0.09185709598175557,0.8570149876133488,0.8618470063998526
Base,C,Обрабатывающая промышленность без машиностроения,hybrid,0.106415670647682,0.330372209277719,-0.005923543589486853,-0.01838990602136725,0.4099328372248181,0.39746647479293773,0.5654089834140897,0.5842009520049836
Base,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.106415670647682,0.330372209277719,-0.011122678199919704,-0.034530851965951855,0.4047337026143853,0.38132552884835313,0.5654089834140897,0.5842009520049836
Base,DE,Энергетика и ЖКХ,hybrid,0.106415670647682,0.330372209277719,-0.005996277764642503,-0.0186157125213866,0.4229722145681326,0.4103527798113885,0.5412660160221551,0.5592555674279156
Base,F,Строительство,hardware,0.04285848195095768,0.11326220800471042,-0.002902751586684827,-0.007671108238815109,0.7463043092016517,0.7415359525495214,0.23793101854558935,0.23927252034908283
Base,G,Оптовая и розничная торговля,hybrid,0.106415670647682,0.330372209277719,-0.014601743528014105,-0.04533176588838924,0.5492740730298245,0.5185440506694493,0.42103700711107567,0.43503061960279765
Base,H,Транспорт и логистика,hardware,0.04285848195095768,0.11326220800471042,-0.007644697513701632,-0.020202659555715298,0.5049424250937125,0.4923844630516988,0.4664242280074673,0.4690540193936005
Base,J,ИТ и связь,software,0.38430669109244664,0.8760270905468406,-0.02622726974374435,-0.05978506057567604,0.5408840350260891,0.5073262441941574,0.45116411449743443,0.5015662676533251
Base,K,Финансы и страхование,software,0.38430669109244664,0.8760270905468406,-0.028251483682736677,-0.06439925618746475,0.31425677913000244,0.2781090066252744,0.6683484647756834,0.7430135380842121
Base,M,Профессиональные и научные услуги,software,0.38430669109244664,0.8760270905468406,-0.014610184102732867,-0.03330391421364023,0.4888753330740394,0.47018160296313205,0.5181811345882104,0.5760701467431358
Fast,B,Добыча полезных ископаемых,hardware,0.06841123318098974,0.18955918439086916,-0.006692198266900074,-0.018543265283632957,0.09624455695896084,0.08439348994222795,0.8587785671359655,0.8670955900072627
Fast,C,Обрабатывающая промышленность без машиностроения,hybrid,0.1737561575926217,0.528215187663118,-0.009671998185767777,-0.02940267791113727,0.4061843826285372,0.3864537029031677,0.5710939975481555,0.6007992615268454
Fast,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.1737561575926217,0.528215187663118,-0.018161176961951173,-0.05520960885674815,0.3976952038523538,0.36064677195755684,0.5710939975481555,0.6007992615268454
Fast,DE,Энергетика и ЖКХ,hybrid,0.1737561575926217,0.528215187663118,-0.009790758991613338,-0.029763708347214313,0.41917773334116176,0.3992047839855608,0.5467082800144868,0.5751451290216355
Fast,F,Строительство,hardware,0.06841123318098974,0.18955918439086916,-0.004633407592233825,-0.012838607393768922,0.7445736531961027,0.7363684533945676,0.23842063690485618,0.24072967204617332
Fast,G,Оптовая и розничная торговля,hybrid,0.1737561575926217,0.528215187663118,-0.023841816098500793,-0.0724786363786046,0.5400340004593378,0.49139718017923395,0.42527040524694887,0.4473907036644083
Fast,H,Транспорт и логистика,hardware,0.06841123318098974,0.18955918439086916,-0.012202559689501291,-0.03381180479678202,0.5003845629179129,0.4787753178106321,0.4673840434474015,0.471910523180117
Fast,J,ИТ и связь,software,0.5835531988576232,0.975177328345722,-0.03982498226288255,-0.0665516355330767,0.5272863225069508,0.5005596692367567,0.4718166711801749,0.5115826358337383
Fast,K,Финансы и страхование,software,0.5835531988576232,0.975177328345722,-0.04289866415978976,-0.07168807366121707,0.29960959865294934,0.27082018915152206,0.6989428850964974,0.7578516514910472
Fast,M,Профессиональные и научные услуги,software,0.5835531988576232,0.975177328345722,-0.022184936839930367,-0.0370733079339357,0.48130058033684187,0.46641220924283655,0.5419014725098794,0.5875743707303681
Friction,B,Добыча полезных ископаемых,hardware,0.021655188096268804,0.05868927886869253,-0.002118377428803843,-0.0057411666486348375,0.10081837779705706,0.09719558857722607,0.8555532200443491,0.8580959449532295
Friction,C,Обрабатывающая промышленность без машиностроения,hybrid,0.05472047336081645,0.18648296582734572,-0.003045971586866196,-0.010380425834389377,0.4128104092274388,0.4054759549799156,0.5610504655955735,0.5721214032843296
Friction,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.05472047336081645,0.18648296582734572,-0.005719441623919304,-0.019491396389647905,0.4101369391903857,0.39636498442465706,0.5610504655955735,0.5721214032843296
Friction,DE,Энергетика и ЖКХ,hybrid,0.05472047336081645,0.18648296582734572,-0.0030833725492413967,-0.010507885301754269,0.4258851197835337,0.41846060703102084,0.5370936069437833,0.5476918155188211
Friction,F,Строительство,hardware,0.021655188096268804,0.05868927886869253,-0.0014666789103340615,-0.003974951738897948,0.7477403818780025,0.7452321090494386,0.23752519151619564,0.23823112214307532
Friction,G,Оптовая и розничная торговля,hybrid,0.05472047336081645,0.18648296582734572,-0.007508427216434354,-0.02558811519752081,0.5563673893414043,0.5382877013603178,0.4177913966740649,0.42603547239115225
Friction,H,Транспорт и логистика,hardware,0.021655188096268804,0.05868927886869253,-0.0038626511034086713,-0.010468447873674866,0.5087244715040055,0.5021186747337393,0.4656286715472521,0.4670125312460921
Friction,J,ИТ и связь,software,0.21622987079180417,0.7033726225962497,-0.014756753601636936,-0.04800213977736624,0.5523545511681964,0.5191091649924672,0.4337261719502664,0.4839600293845773
Friction,K,Финансы и страхование,software,0.21622987079180417,0.7033726225962497,-0.015895676052451072,-0.05170693258989217,0.32661258676028804,0.29080133022284693,0.6425161306964786,0.7169318929815197
Friction,M,Профессиональные и научные услуги,software,0.21622987079180417,0.7033726225962497,-0.008220409100341296,-0.02674011082071225,0.495265108076431,0.47674540635606,0.49815291744146095,0.5558486348170537
